('Senat', 'Сенат', 'F', 2021, null, '6d5b7d6f-d571-4585-8c01-79347eeac543')
('Allegro', 'Аллегро', 'C', 1973, 1983, '50cfce3b-4cfb-4dc4-91ac-2b577a817f10')
('Ambassador', 'Амбассадор', 'D', 1982, 1984, '50cfce3b-4cfb-4dc4-91ac-2b577a817f10')
('FL2', 'ФЛ2', 'D', 1958, 1978, '50cfce3b-4cfb-4dc4-91ac-2b577a817f10')
('FX4', 'ФХ4', 'E', 1958, 1982, '50cfce3b-4cfb-4dc4-91ac-2b577a817f10')
('Maestro', 'Маэстро', 'C', 1983, 1997, '50cfce3b-4cfb-4dc4-91ac-2b577a817f10')
('Maxi', 'Макси', 'B', 1969, 1982, '50cfce3b-4cfb-4dc4-91ac-2b577a817f10')
('Metro', 'метро', 'B', 1980, 1990, '50cfce3b-4cfb-4dc4-91ac-2b577a817f10')
('Mini', 'Мини', 'B', 1967, 1993, '50cfce3b-4cfb-4dc4-91ac-2b577a817f10')
('Montego', 'Монтего', 'C', 1984, 1994, '50cfce3b-4cfb-4dc4-91ac-2b577a817f10')
